title,author,genre,publishedYear
"The Great Gatsby","F. Scott Fitzgerald","Fiction",1925
"To Kill a Mockingbird","Harper Lee","Fiction",1960
"1984","George Orwell","Dystopian",1949
"Pride and Prejudice","Jane Austen","Romance",1813
"The Catcher in the Rye","J.D. Salinger","Fiction",1951
"Moby-Dick","Herman Melville","Adventure",1851
"War and Peace","Leo Tolstoy","Historical Fiction",1869
"Ulysses","James Joyce","Modernist",1922
"The Odyssey","Homer","Epic",-800
"Crime and Punishment","Fyodor Dostoevsky","Philosophical Fiction",1866
"Brave New World","Aldous Huxley","Dystopian",1932
"The Lord of the Rings","J.R.R. Tolkien","Fantasy",1954
"Anna Karenina","Leo Tolstoy","Romance",1877
"Catch-22","Joseph Heller","Satire",1961
"The Grapes of Wrath","John Steinbeck","Fiction",1939
"Jane Eyre","Charlotte Brontë","Gothic",1847
"Wuthering Heights","Emily Brontë","Gothic",1847
"Great Expectations","Charles Dickens","Fiction",1861
"One Hundred Years of Solitude","Gabriel Garcia Marquez","Magical Realism",1967
"The Picture of Dorian Gray","Oscar Wilde","Philosophical Fiction",1890
"Don Quixote","Miguel de Cervantes","Adventure",1605
"Moby-Dick","Herman Melville","Adventure",1851
"Alice's Adventures in Wonderland","Lewis Carroll","Fantasy",1865
"Heart of Darkness","Joseph Conrad","Novella",1899
"Madame Bovary","Gustave Flaubert","Realism",1857
"The Divine Comedy","Dante Alighieri","Epic",1320
"The Brothers Karamazov","Fyodor Dostoevsky","Philosophical Fiction",1880
"The Hobbit","J.R.R. Tolkien","Fantasy",1937
"Gulliver's Travels","Jonathan Swift","Satire",1726
"The Scarlet Letter","Nathaniel Hawthorne","Historical Fiction",1850
"Dracula","Bram Stoker","Gothic Horror",1897
"Frankenstein","Mary Shelley","Gothic Horror",1818
"Les Misérables","Victor Hugo","Historical Fiction",1862
"Crime and Punishment","Fyodor Dostoevsky","Philosophical Fiction",1866
"The Sun Also Rises","Ernest Hemingway","Fiction",1926
"The Old Man and the Sea","Ernest Hemingway","Novella",1952
"The Iliad","Homer","Epic",-750
"The Aeneid","Virgil","Epic",-19
"The Republic","Plato","Philosophy",-380
"Fahrenheit 451","Ray Bradbury","Dystopian",1953
"Slaughterhouse-Five","Kurt Vonnegut","Science Fiction",1969
"Beloved","Toni Morrison","Historical Fiction",1987
"Invisible Man","Ralph Ellison","Fiction",1952
"The Sound and the Fury","William Faulkner","Modernist",1929
"Moby-Dick","Herman Melville","Adventure",1851
"The Metamorphosis","Franz Kafka","Novella",1915
"Sense and Sensibility","Jane Austen","Romance",1811
